iter	Passed	Remaining
752	10845	3557
753	10859	3542
754	10875	3529
755	10889	3514
756	10916	3504
757	10933	3490
758	10953	3477
759	10964	3462
760	10981	3448
761	11001	3436
762	11022	3423
763	11042	3410
764	11057	3396
765	11073	3382
766	11092	3369
767	11111	3356
768	11125	3341
769	11157	3332
770	11181	3320
771	11199	3307
772	11217	3294
773	11241	3282
774	11259	3268
775	11271	3253
776	11282	3238
777	11296	3223
778	11308	3208
779	11324	3194
780	11340	3179
781	11352	3164
782	11371	3151
783	11387	3137
784	11398	3122
785	11417	3108
786	11434	3094
787	11452	3081
788	11463	3065
789	11476	3050
790	11489	3035
791	11500	3020
792	11512	3005
793	11531	2991
794	11542	2976
795	11555	2961
796	11570	2947
797	11582	2931
798	11594	2916
799	11609	2902
800	11622	2887
801	11638	2873
802	11652	2858
803	11665	2843
804	11677	2828
805	11690	2813
806	11704	2799
807	11717	2784
808	11730	2769
809	11745	2755
810	11758	2740
811	11771	2725
812	11784	2710
813	11798	2696
814	11816	2682
815	11832	2668
816	11846	2653
817	11861	2639
818	11875	2624
819	11893	2610
820	11905	2595
821	11918	2580
822	11932	2566
823	11944	2551
824	11956	2536
825	11970	2521
826	11984	2507
827	11999	2492
828	12012	2477
829	12030	2464
830	12048	2450
831	12061	2435
832	12073	2420
833	12085	2405
834	12096	2390
835	12109	2375
836	12122	2360
837	12134	2345
838	12145	2330
839	12156	2315
840	12169	2300
841	12183	2286
842	12198	2271
843	12213	2257
844	12225	2242
845	12240	2228
846	12257	2214
847	12269	2199
848	12281	2184
849	12293	2169
850	12305	2154
851	12316	2139
852	12329	2124
853	12340	2109
854	12353	2095
855	12365	2080
856	12377	2065
857	12388	2050
858	12402	2035
859	12417	2021
860	12432	2007
861	12444	1992
862	12455	1977
863	12467	1962
864	12478	1947
865	12490	1932
866	12503	1918
867	12514	1903
868	12526	1888
869	12538	1873
870	12554	1859
871	12571	1845
872	12589	1831
873	12610	1818
874	12628	1804
875	12644	1789
876	12656	1775
877	12668	1760
878	12681	1745
879	12693	1730
880	12706	1716
881	12720	1701
882	12732	1687
883	12744	1672
884	12762	1658
885	12787	1645
886	12829	1634
887	12860	1621
888	12875	1607
889	12898	1594
890	12921	1580
891	12938	1566
892	12957	1552
893	12980	1539
894	12994	1524
895	13006	1509
896	13024	1495
897	13045	1481
898	13065	1467
899	13079	1453
900	13094	1438
901	13112	1424
902	13130	1410
903	13150	1396
904	13172	1382
905	13192	1368
906	13213	1354
907	13232	1340
908	13251	1326
909	13272	1312
910	13286	1298
911	13298	1283
912	13316	1268
913	13335	1254
914	13355	1240
915	13373	1226
916	13387	1211
917	13403	1197
918	13419	1182
919	13431	1167
920	13450	1153
921	13469	1139
922	13482	1124
923	13503	1110
924	13517	1095
925	13529	1081
926	13560	1067
927	13581	1053
928	13596	1039
929	13614	1024
930	13628	1010
931	13640	995
932	13660	980
933	13675	966
934	13688	951
935	13706	937
936	13719	922
937	13731	907
938	13750	893
939	13772	879
940	13788	864
941	13802	849
942	13814	835
943	13826	820
944	13838	805
945	13850	790
946	13863	775
947	13875	761
948	13888	746
949	13903	731
950	13915	716
951	13931	702
952	13979	689
953	14000	675
954	14030	661
955	14044	646
956	14072	632
957	14092	617
958	14105	603
959	14124	588
960	14138	573
961	14150	558
962	14170	544
963	14190	529
964	14209	515
965	14228	500
966	14251	486
967	14265	471
968	14280	456
969	14302	442
970	14322	427
971	14345	413
972	14356	398
973	14373	383
974	14412	369
975	14431	354
976	14444	340
977	14461	325
978	14473	310
979	14486	295
980	14505	280
981	14516	266
982	14531	251
983	14554	236
984	14567	221
985	14586	207
986	14600	192
987	14613	177
988	14633	162
989	14645	147
990	14657	133
991	14674	118
992	14686	103
993	14698	88
994	14715	73
995	14726	59
996	14738	44
997	14750	29
998	14763	14
999	14785	0
